Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,CAF,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.9345617,211.9109131,212.9546055,200.8843181,244.700069,263.3974232,249.4967692,247.2868854,243.5218486,249.8615139,265.1880257,260.6014655,250.4586448,249.1783417,231.8728478,234.2867975,234.9868442,233.0461764,244.7777692,244.6545533,252.0210368,256.7613525,262.1289978,254.3471527,290.9452209,283.5237427,280.0477905,286.8291626,276.5805306,277.8528675,
Canada,CAN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.241965,1.237998,1.228098,1.215102,1.20701,1.208841,1.207821,1.200974,1.185448,1.19081,1.227563,1.221139,1.229333,1.226338,1.233195,1.213644,1.205778,1.212706,1.23439,1.201369,1.221371,1.239904,1.244607,1.224,1.230358,1.248042,1.207045,1.2083,1.178077,1.186223,
Central Europe and the Baltics,CEB,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936289,1.97426,1.971282,1.970372,1.952026,1.926041,1.891189,1.844334,1.827663,1.802836,1.788109,1.768379,1.70976,1.717018,1.693209,1.686548,1.600989,1.533994,1.493049,1.46898,1.464944,1.397498,1.354072,1.312477,1.281761,1.235788,1.201964,1.183945,1.142621,1.125833,
Channel Islands,CHI,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.599469,197.688509,216.035682,233.489517,257.4139,275.634032,275.297281,278.916342,278.687425,280.983094,286.579744,291.255853,296.446431,304.367804,319.653393,333.69,318.574722,323.878962,340.400833,354.325885,359.83702,348.016847,347.228507,349.680536,367.213907,391.178861,397.250703,396.448744,400.278054,387.770444,
China,CHN,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.692147957,1.746698772,1.84765273,2.078977956,2.455173359,2.733375621,2.858881999,2.855851741,2.798642596,2.723965383,2.719364443,2.715469385,2.689281146,2.708979584,2.821350896,2.84293348,2.867777842,3.009186492,3.181871402,3.15118129,3.329232161,3.524467707,3.560967922,3.663644791,3.758849859,3.87069726,3.988837242,4.183811188,4.227257937,4.212260535,
Cote d'Ivoire,CIV,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.005454,116.8500926,114.219286,118.442332,169.7580961,184.6343527,190.3494809,198.7274987,203.6678297,202.3475289,202.3680028,212.6711931,223.3182688,229.7727185,217.2811909,213.4595408,210.8029834,211.3097654,224.9018871,228.4360249,237.967637,236.9105835,241.7153778,247.2416077,246.5193329,250.6382446,252.4108276,253.7456055,249.2839327,245.0254669,
Cameroon,CMR,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.3979085,153.6753167,148.3315124,202.5683871,217.4103692,223.5771803,221.9123524,230.3428091,237.5924911,231.5883296,238.3372681,236.6283309,237.2337345,233.3644629,231.759636,226.4419023,227.172616,223.3486241,233.5748473,235.6213193,237.3554945,238.707077,242.1939545,241.0830078,239.119339,240.7082672,237.4437561,232.8013916,230.9000184,232.2181115,
"Congo, Dem. Rep.",COD,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33E-10,1.73E-08,6.68E-07,1.15E-05,0.003018796,0.016747515,0.121405315,0.349261323,0.438401872,2.34189826,62.53865968,105.9062494,137.3269542,152.9102981,158.3798186,199.4736628,219.4140595,256.9890608,303.6757916,399.802125,477.3440407,532.0634155,583.2546387,558.9066162,530.0176392,508.59552,494.126709,645.390564,812.5619503,834.5853897,
"Congo, Rep.",COG,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.6095919,96.83055139,93.18736545,90.00119548,120.5059201,122.0392589,141.4072591,145.9113651,117.9952052,150.4607436,216.400035,182.2679679,176.309659,165.735915,188.5162869,221.8164148,239.8028667,249.2697793,284.2940923,222.4269134,284.5441076,309.2511902,316.1163635,316.1519165,314.8050842,311.999054,316.6252747,297.6739807,357.7548567,348.2733334,
Colombia,COL,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.1783185,213.980233,256.6291925,312.9649182,374.1297434,435.5245661,499.8383061,574.1104331,651.5902469,723.3956859,786.4960707,819.782102,855.1813183,896.9250259,937.0217617,951.9088322,977.6080489,1001.558885,1057.875327,1092.540781,1121.047421,1168.243042,1203.585205,1206.679077,1220.6073,1276.47937,1293.741161,1323.513894,1318.651531,1317.188166,
Comoros,COM,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.3731375,172.9508504,157.6586434,158.3725454,169.6634039,180.0066174,182.4242455,180.9895467,181.3853215,189.1946769,191.3986613,203.4537294,208.6389113,215.3057434,216.7652992,210.8811934,211.0542748,212.8190718,215.2492043,215.8119818,216.8534168,218.9775848,213.963623,211.5000305,206.3431091,203.3440399,197.5705566,190.1259003,187.7627915,188.4658166,
